Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,145.0,1.0,145.0,145.0,0.1,90.10699999999997,0.0,0.0,0.0049097537994384766,,,,,,,,,,,,,,,,,,,,,37.7795254466165,26.086029740807465,84.79848097370704,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,210.0,2.0,65.0,210.0,0.1,39.808,0.0,0.0,5.949340105056763,,,,,,,,,,,,,,,,,,,,,13.285786745557711,13.173160494683232,39.02242969850607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,312.0,3.0,102.0,312.0,0.1,39.01800000000005,0.0,0.0,15.001886367797852,,,,,,,,,,,,,,,,,,,,,15.710629935351614,9.581889831673253,37.49045917448392,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,376.0,4.0,64.0,376.0,0.1,37.306999999999995,0.0,0.0,20.833403825759888,,,,,,,,,,,,,,,,,,,,,14.070274220772175,11.710035038726303,36.479424820085924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,429.0,5.0,53.0,429.0,0.1,35.806999999999995,0.0,0.0,25.747586965560913,,,,,,,,,,,,,,,,,,,,,13.072987194987839,12.066099380568197,35.18446542505031,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,458.0,6.0,29.0,458.0,0.1,13.705999999999994,0.0,0.0,28.810651779174805,,,,,,,,,,,,,,,,,,,,,4.122136049295873,4.711023816590921,13.613671784467574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,531.0,7.0,73.0,531.0,0.1,38.007,0.0,0.0,35.399096965789795,,,,,,,,,,,,,,,,,,,,,14.224979759866736,12.115826272675962,37.042624684273584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,565.0,8.0,34.0,565.0,0.1,13.506999999999993,0.0,0.0,38.68235182762146,,,,,,,,,,,,,,,,,,,,,3.67590252114378,4.392970047379179,13.408823552562687,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,619.0,9.0,54.0,619.0,0.1,30.106000000000023,0.0,0.0,43.6334125995636,,,,,,,,,,,,,,,,,,,,,9.81348394557441,9.782805181870204,29.635312857340804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,768.0,10.0,149.0,768.0,0.1,56.90700000000008,0.0,0.0,56.606078147888184,,,,,,,,,,,,,,,,,,,,,23.770206209473447,14.828283751658644,53.472130062783975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,822.0,11.0,54.0,822.0,0.1,32.605999999999995,0.0,0.0,61.76942539215088,,,,,,,,,,,,,,,,,,,,,12.622242811708817,10.300515888034086,31.98834358699813,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,860.0,12.0,38.0,860.0,0.1,19.30700000000002,0.0,0.0,65.42599248886108,,,,,,,,,,,,,,,,,,,,,5.9369542956822565,6.491645467014697,19.11961584884592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,927.0,13.0,67.0,927.0,0.1,39.406,0.0,0.0,71.43281841278076,,,,,,,,,,,,,,,,,,,,,13.642774327287382,12.366285294336514,38.56903361827467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,956.0,14.0,29.0,956.0,0.1,13.605999999999995,0.0,0.0,74.29894185066223,,,,,,,,,,,,,,,,,,,,,4.148989887143277,4.63429610151007,13.512691162907501,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1015.0,15.0,59.0,1015.0,0.1,32.907,0.0,0.0,79.90630602836609,,,,,,,,,,,,,,,,,,,,,11.798622224678743,10.39319015490313,32.275399812970086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1065.0,16.0,50.0,1065.0,0.1,35.105999999999995,0.0,0.0,84.53519010543823,,,,,,,,,,,,,,,,,,,,,13.34364727718951,11.791236635273075,34.50779872579338,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1187.0,17.0,122.0,1187.0,0.1,64.20900000000006,0.0,0.0,95.3412835597992,,,,,,,,,,,,,,,,,,,,,26.725568953150063,18.811111782138816,61.07056063843193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1243.0,18.0,56.0,1243.0,0.1,25.609000000000034,0.0,0.0,100.45272707939148,,,,,,,,,,,,,,,,,,,,,7.168011438330841,8.140221747767125,25.258082265903013,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1290.0,19.0,47.0,1290.0,0.1,21.807000000000027,0.0,0.0,104.86442685127258,,,,,,,,,,,,,,,,,,,,,6.336264821549369,7.0140127701737764,21.55227855822507,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1326.0,20.0,36.0,1326.0,0.1,18.706000000000017,0.0,0.0,108.54795265197754,,,,,,,,,,,,,,,,,,,,,5.960192504721094,6.286409569814213,18.528471484327213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,31.0,1.0,31.0,1357.0,0.1,16.506000000000014,0.0,0.0,227.94830656051636,,,,,,,,,,,,,,,,,,,,,5.392055361390102,5.672169491737069,16.37157305834053,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,102.0,2.0,71.0,1428.0,0.1,30.30600000000003,0.0,0.0,234.4347951412201,,,,,,,,,,,,,,,,,,,,,12.264591158870795,8.217017806917967,29.49417287930592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
